Date,BHARTIARTL.NS,HDFCBANK.NS,INFY.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS
2021-11-01 00:00:00+00:00,702.1904907226562,1547.723388671875,1580.29248046875,193.83999633789062,1151.4769287109375,3271.8486328125
2021-11-02 00:00:00+00:00,703.6195068359375,1549.121337890625,1578.2938232421875,193.10000610351562,1134.6888427734375,3279.189208984375
2021-11-03 00:00:00+00:00,688.984375,1524.728759765625,1582.56982421875,192.5800018310547,1126.884765625,3286.765869140625
2021-11-04 00:00:00+00:00,690.9553833007812,1536.7802734375,1588.3328857421875,193.58999633789062,1133.803955078125,3302.200927734375
2021-11-08 00:00:00+00:00,698.7411499023438,1542.8544921875,1615.1041259765625,195.3699951171875,1135.2105712890625,3296.647705078125
2021-11-09 00:00:00+00:00,702.88037109375,1515.8587646484375,1619.751953125,194.8800048828125,1144.1717529296875,3299.423828125
2021-11-10 00:00:00+00:00,724.8084716796875,1499.468505859375,1617.567626953125,194.66000366210938,1156.9669189453125,3279.28369140625
2021-11-11 00:00:00+00:00,718.0575561523438,1492.7677001953125,1611.199951171875,193.25,1159.076904296875,3282.9541015625
2021-11-12 00:00:00+00:00,732.7418823242188,1497.2991943359375,1654.7962646484375,195.4600067138672,1176.568115234375,3318.576904296875
2021-11-15 00:00:00+00:00,726.8779907226562,1501.396728515625,1661.2568359375,195.52000427246094,1169.6260986328125,3344.2236328125
2021-11-16 00:00:00+00:00,719.7329711914062,1492.4783935546875,1666.0439453125,194.47000122070312,1142.44775390625,3347.141357421875
2021-11-17 00:00:00+00:00,709.6312255859375,1475.895263671875,1661.5355224609375,193.52999877929688,1117.9915771484375,3314.67138671875
2021-11-18 00:00:00+00:00,704.0137329101562,1484.18701171875,1654.0528564453125,192.13999938964844,1122.2113037109375,3271.189453125
2021-11-22 00:00:00+00:00,731.3621215820312,1460.99951171875,1635.461669921875,188.52999877929688,1072.505126953125,3254.9072265625
2021-11-23 00:00:00+00:00,747.9191284179688,1461.1923828125,1614.5465087890625,189.39999389648438,1082.532470703125,3260.4130859375
2021-11-24 00:00:00+00:00,747.9191284179688,1463.602783203125,1576.527587890625,188.25,1066.9014892578125,3240.696044921875
2021-11-25 00:00:00+00:00,754.0786743164062,1471.21923828125,1601.068115234375,189.50999450683594,1131.126953125,3243.142822265625
2021-11-26 00:00:00+00:00,728.0606689453125,1436.46240234375,1572.484130859375,184.50999450683594,1094.6697998046875,3244.037109375
2021-11-29 00:00:00+00:00,728.6519165039062,1447.4051513671875,1576.85302734375,184.5500030517578,1107.78271484375,3295.9423828125
2021-11-30 00:00:00+00:00,717.712646484375,1439.9814453125,1592.0047607421875,183.6999969482422,1091.40283203125,3321.49462890625
2021-12-01 00:00:00+00:00,711.7994384765625,1450.683349609375,1594.09619140625,185.72000122070312,1119.352783203125,3367.2822265625
2021-12-02 00:00:00+00:00,721.9503784179688,1471.026611328125,1625.096923828125,187.99000549316406,1126.5443115234375,3428.55126953125
2021-12-03 00:00:00+00:00,707.9558715820312,1459.26416015625,1613.291748046875,186.0,1092.696044921875,3426.245361328125
2021-12-06 00:00:00+00:00,687.506103515625,1449.86376953125,1575.876953125,183.00999450683594,1071.9832763671875,3328.31787109375
2021-12-07 00:00:00+00:00,688.7379150390625,1470.9781494140625,1591.0751953125,185.7100067138672,1080.717529296875,3373.587646484375
2021-12-08 00:00:00+00:00,704.8021240234375,1498.0704345703125,1629.8377685546875,188.47999572753906,1097.1654052734375,3413.4931640625
2021-12-09 00:00:00+00:00,703.6195068359375,1472.0869140625,1639.2261962890625,189.13999938964844,1114.5657958984375,3389.822998046875
2021-12-10 00:00:00+00:00,700.41650390625,1467.9412841796875,1635.3221435546875,189.08999633789062,1115.7003173828125,3422.810791015625
2021-12-13 00:00:00+00:00,692.9264526367188,1456.9503173828125,1621.7506103515625,187.89999389648438,1093.3314208984375,3397.2587890625
2021-12-14 00:00:00+00:00,681.5928955078125,1448.5621337890625,1628.7222900390625,187.3300018310547,1079.9462890625,3410.575439453125
2021-12-15 00:00:00+00:00,675.5319213867188,1446.2000732421875,1612.0367431640625,186.25,1076.7928466796875,3360.270263671875
2021-12-16 00:00:00+00:00,671.54052734375,1446.29638671875,1646.8021240234375,186.6199951171875,1090.7222900390625,3370.8583984375
2021-12-17 00:00:00+00:00,656.4125366210938,1420.2166748046875,1692.582763671875,183.77000427246094,1061.9332275390625,3373.44677734375
2021-12-20 00:00:00+00:00,648.7254638671875,1374.516845703125,1672.178955078125,179.92999267578125,1033.3028564453125,3347.611572265625
2021-12-21 00:00:00+00:00,657.3488159179688,1390.0875244140625,1683.984375,181.4499969482422,1048.6842041015625,3395.987548828125
2021-12-22 00:00:00+00:00,674.842041015625,1393.3656005859375,1696.1614990234375,183.3300018310547,1073.5714111328125,3417.116455078125
2021-12-23 00:00:00+00:00,668.9288330078125,1392.304931640625,1726.7437744140625,184.10000610351562,1073.185791015625,3447.18603515625
2021-12-24 00:00:00+00:00,667.25341796875,1387.29150390625,1732.228271484375,183.4499969482422,1076.611328125,3454.904296875
2021-12-27 00:00:00+00:00,665.9722290039062,1398.7647705078125,1734.6917724609375,184.5500030517578,1075.4544677734375,3478.62109375
2021-12-28 00:00:00+00:00,670.2100219726562,1408.4061279296875,1755.00244140625,186.3000030517578,1088.2266845703125,3488.45654296875
2021-12-29 00:00:00+00:00,667.0563354492188,1401.705322265625,1752.7249755859375,186.1199951171875,1090.0872802734375,3477.30322265625
